id,category,query,ground_truth
q1,factual,Who founded Meridian Health Systems and when?,Dr. Ananya Kapoor founded Meridian Health Systems in January 2014. She was a former biomedical researcher at the Indian Institute of Science (IISc) Bangalore.
q2,factual,What was Meridian's first product and what did it do?,"Meridian's first product was HealthBridge API, launched in March 2015. It was a middleware platform that standardized patient records across different hospital management systems using HL7 FHIR protocols."
q3,factual,What accuracy did MediScan achieve for detecting tuberculosis?,"MediScan achieved 94.2% accuracy for detecting pulmonary tuberculosis in chest X-rays during initial clinical trials. In a later Lancet study comparing against radiologists, MediScan achieved 97.1% accuracy vs 94.3% for radiologists."
q4,factual,Who is Arjun Mehta and what role does he hold?,Arjun Mehta is the Chief Information Security Officer (CISO) of Meridian Health Systems. He joined as a senior security engineer from Palo Alto Networks and was promoted to CISO after detecting the Incident Nightfall data breach just six weeks into his tenure.
q5,factual,What is PharmaTrack and who led its development?,"PharmaTrack is a blockchain-based pharmaceutical supply chain tracking system developed by Meridian to combat counterfeit medications. It was led by Sameer Joshi, VP of Pharma Solutions, who was hired from Cipla Ltd."
q6,multi-hop,How did the NovaCare partnership evolve from the founding years through the COVID-19 pandemic?,"NovaCare Clinics first adopted HealthBridge in December 2015 as their data exchange platform across 120 centers. The partnership deepened in 2018 with MediScan deployment in all 120 centers. After strain from Incident Nightfall in 2019, NovaCare re-engaged during COVID-19, using their centers as testing and vaccination sites through CovidShield. Dr. Rajesh Sundaram also invested $1.5 million in co-developing MediPredict risk models."
q7,multi-hop,How did the Incident Nightfall data breach affect Meridian's product development and research direction?,"The breach led to Project Fortress ($5 million security overhaul), the hiring of Arjun Mehta as CISO, and forced layoffs of 35 employees. It directly influenced the AI research direction: Dr. Rahman and Arjun Mehta collaborated on federated learning techniques that could train MediScan models without centralizing patient data, published at NeurIPS 2020. They also filed a joint patent for the privacy-preserving framework."
q8,multi-hop,Trace how MediScan evolved from its first version to MediScan-C.,"MediScan started in 2016 as a single-task TB detector trained on 500K images from NovaCare/AIIMS. In 2018, MediScan v2.0 added diabetic retinopathy detection (96.1% accuracy) with Dr. Aisha Rahman's work. By 2020, it became a multi-task system trained on 4.8M images across 23 categories. During COVID-19, Dr. Rahman adapted it into MediScan-C for COVID pneumonia detection (91.8% accuracy), deployed in 200+ hospitals and licensed to Bangladesh and Sri Lanka."
q9,multi-hop,How did Dr. Aisha Rahman's work connect security and AI at Meridian?,"Dr. Rahman was hired from Google Health in 2018 and led MediScan's computer vision work including the TLV methodology (published in Nature Medicine 2019). After Incident Nightfall, she collaborated with Arjun Mehta to develop privacy-preserving federated learning, published at NeurIPS 2020. They jointly filed a patent for the federated learning framework in August 2021. Her work showed how AI models could be trained across hospitals without centralizing sensitive patient data."
q10,multi-hop,What role did Priya Sharma play across different crises and expansions at Meridian?,"Priya Sharma joined as VP of Operations from Infosys Health to manage rapid scaling after Series A. She led the TeleMed Singapore acquisition in 2019 and relocated there to build the APAC team. During the post-Nightfall layoffs, she personally conducted exit interviews and helped 28 of 35 laid-off employees find new positions. She returned from Singapore to negotiate the Karnataka government CovidShield deal worth $2.8 million."
q11,global,What are all the major products and platforms that Meridian developed?,"Meridian developed six major products: (1) HealthBridge API - patient record standardization middleware, (2) MediScan - AI diagnostic imaging tool, (3) PharmaTrack - blockchain pharmaceutical supply chain tracking, (4) CovidShield - pandemic response platform with contact tracing and vaccination scheduling, (5) MediPredict - predictive analytics for chronic disease risk, and (6) Meridian Connect (formerly TeleMed) - teleconsultation platform."
q12,global,What major partnerships and investor relationships shaped Meridian's growth?,"Key partnerships: NovaCare Clinics (largest healthcare partner), AIIMS Delhi (academic research), Sankara Eye Hospital (ophthalmology AI). Key investors: Sequoia Capital India and HealthVenture Partners (Series A, $4.2M), Tiger Global (Series B, $18M), SoftBank Vision Fund and Temasek (Series C, $45M). Other: Karnataka state government (CovidShield), TeleMed Singapore (acquired for $3.2M)."
q13,global,What were the major crises Meridian faced and how did they recover from each?,"Meridian faced two major crises: (1) Incident Nightfall data breach (Sep 2019) - 4.2M patient records compromised, lost $2.1M revenue from suspended hospital contracts, Series C postponed, 35 employees laid off. Recovery via Project Fortress security overhaul and Arjun Mehta's promotion to CISO. (2) COVID-19 pandemic (2020) - created CovidShield in 37 days, turned crisis into opportunity, NovaCare relationship restored, SoftBank returned with $45M Series C at higher valuation ($320M vs pre-breach $250M)."
q14,multi-hop,How did the HealthBridge platform serve as the foundation for other Meridian products?,HealthBridge was the foundational data layer. MediScan's diagnostic results were recorded in patient HealthBridge profiles. PharmaTrack integrated medication records with patient data. CovidShield was built on top of HealthBridge infrastructure for COVID response. MediPredict used longitudinal data from HealthBridge spanning visit histories and lab results. Meridian Connect integrated with HealthBridge for seamless patient record transfer during teleconsultations.
q15,global,Who are all the key leaders at Meridian and what are their specific contributions?,"Dr. Ananya Kapoor (Founder/CEO) - founded company, led COVID pivot. Dr. Vikram Nair (CTO) - developed MediScan, led 100-Day Sprint for CovidShield. Priya Sharma (VP Operations) - managed scaling, TeleMed acquisition, CovidShield government deals. Sameer Joshi (VP Pharma Solutions) - built PharmaTrack from Cipla background. Arjun Mehta (CISO) - detected Incident Nightfall, led Project Fortress. Dr. Meera Krishnan (Head Clinical AI) - developed MediPredict, clinical validation processes. Dr. Aisha Rahman (CV Lead) - MediScan v2.0, TLV methodology, MediScan-C, federated learning."
